Original Order,'ICD-9-CM CODE','SURGERY FLAG','ICD-9-CM CODE DESCRIPTION',System,Reop/Revision,REVIS,POSTOP,,HCUP SURGERY FLAGS 1=BROAD 2=NARROW
362,'1243','2',NONEXC DESTR CIL BOD LES,Ophthalmic,0,,,,
363,'1244','2',EXCISE CILIARY BODY LES,Ophthalmic,0,,,,
364,'1251','2',GONIOPUNCTURE,Ophthalmic,0,,,,
365,'1252','2',GONIOTOMY,Ophthalmic,0,,,,
366,'1253','2',GONIOTOMY W GONIOPUNCTUR,Ophthalmic,0,,,,
367,'1254','2',TRABECULOTOMY AB EXTERNO,Ophthalmic,0,,,,
368,'1255','2',CYCLODIALYSIS,Ophthalmic,0,,,,
369,'1259','2',FACILIT INTRAOC CIRC NEC,Ophthalmic,0,,,,
370,'1261','2',TREPHIN SCLERA W IRIDECT,Ophthalmic,0,,,,
371,'1262','2',THERMCAUT SCLER W IRIDEC,Ophthalmic,0,,,,
372,'1263','2',IRIDENCLEISIS/IRIDOTASIS,Ophthalmic,0,,,,
373,'1264','2',TRABECULECTOM AB EXTERNO,Ophthalmic,0,,,,
374,'1265','2',SCLER FISTULIZ W IRIDECT,Ophthalmic,0,,,,
375,'1266','2',POSTOP REVIS SCL FISTUL,Ophthalmic,2,1,1,,
376,'1267','2',INSERT AQUEOUS DRAIN DEV (Begin 2011),Ophthalmic,0,,,,
377,'1269','2',SCLER FISTULIZING OP NEC,Ophthalmic,0,,,,
378,'1271','2',CYCLODIATHERMY,Ophthalmic,0,,,,
379,'1272','2',CYCLOCRYOTHERAPY,Ophthalmic,0,,,,
380,'1273','2',CYCLOPHOTOCOAGULATION,Ophthalmic,0,,,,
381,'1274','2',CIL BODY DIMINUTION NOS,Ophthalmic,0,,,,
382,'1279','2',GLAUCOMA PROCEDURE NEC,Ophthalmic,0,,,,
383,'1281','2',SUTURE SCLERAL LACER,Ophthalmic,0,,,,
384,'1282','2',SCLERAL FISTULA REPAIR,Ophthalmic,0,,,,
385,'1283','2',REVIS ANT SEG OP WND NEC,Ophthalmic,1,1,,,
386,'1284','2',DESTRUCT SCLERAL LESION,Ophthalmic,0,,,,
387,'1285','2',REPAIR STAPHYLOM W GRAFT,Ophthalmic,0,,,,
388,'1286','2',REP SCLER STAPHYLOMA NEC,Ophthalmic,0,,,,
389,'1287','2',GRAFT REINFORCE SCLERA,Ophthalmic,0,,,,
390,'1288','2',SCLERA REINFORCEMENT NEC,Ophthalmic,0,,,,
391,'1289','2',SCLERAL OPERATION NEC,Ophthalmic,0,,,,
392,'1291','2',THERAPEUT EVAC ANT CHAMB,Ophthalmic,0,,,,
393,'1292','2',ANTERIOR CHAMBER INJECT,Ophthalmic,0,,,,
394,'1293','2',REMOV EPITHEL DOWNGROWTH,Ophthalmic,0,,,,
395,'1297','2',IRIS OPERATION NEC,Ophthalmic,0,,,,
396,'1298','2',CILIARY BODY OP NEC,Ophthalmic,0,,,,
397,'1299','2',ANTERIOR CHAMBER OP NEC,Ophthalmic,0,,,,
398,'1300','2',REMOVE FB LENS NOS,Ophthalmic,0,,,,
399,'1301','2',MAGNET REMOVE FB LENS,Ophthalmic,0,,,,
400,'1302','2',NONMAGNET REMOVE FB LENS,Ophthalmic,0,,,,
401,'1311','2',TEMPINF INTRCAP LENS EX,Ophthalmic,0,,,,
402,'1319','2',INTRACAPSUL LENS EXT NEC,Ophthalmic,0,,,,
403,'132 ','2',LINEAR EXTRACAP LENS EXT,Ophthalmic,0,,,,
404,'133 ','2',SIMPL ASPIR LENS EXTRACT,Ophthalmic,0,,,,
405,'1341','2',CATARAC PHACOEMULS/ASPIR,Ophthalmic,0,,,,
406,'1342','2',POST CATARAC FRAG/ASPIR,Ophthalmic,0,,,,
407,'1343','2',CATARACT FRAG/ASPIR NEC,Ophthalmic,0,,,,
408,'1351','2',TEMPINF XTRACAP LENS EX,Ophthalmic,0,,,,
409,'1359','2',EXTRACAP LENS EXTRAC NEC,Ophthalmic,0,,,,
410,'1364','2',AFTERCATAR DISCISSION,Ophthalmic,0,,,,
411,'1365','2',AFTERCATARACT EXCISION,Ophthalmic,0,,,,
412,'1366','2',AFTER CATAR FRAGMNTATION,Ophthalmic,0,,,,
413,'1369','2',CATARACT EXTRACTION NEC,Ophthalmic,0,,,,
414,'1370','2',INSERT PSEUDOPHAKOS NOS,Ophthalmic,0,,,,
415,'1371','2',INSERT LENS AT CATAR EXT,Ophthalmic,0,,,,
416,'1372','2',SECONDARY INSERT LENS,Ophthalmic,0,,,,
417,'138 ','2',IMPLANTED LENS REMOVAL,Ophthalmic,0,,,,
418,'139 ','2',OTHER OPERATIONS ON LENS,Ophthalmic,0,,,,
419,'1390','2',OPERATION ON LENS NEC    (Begin 2006),Ophthalmic,0,,,,
420,'1391','2',IMPL INTRAOC TELESC PROS (Begin 2006),Ophthalmic,0,,,,
421,'1400','2',REMOV POST SEGMNT FB NOS,Ophthalmic,0,,,,
422,'1401','2',MAGNET REMOV POST SEG FB,Ophthalmic,0,,,,
423,'1402','2',NONMAG REMOV POST SEG FB,Ophthalmic,0,,,,
424,'1411','1',DIAGNOST VITREOUS ASPIR,Ophthalmic,0,,,,
425,'1419','1',DX PROC POST SEG NEC,Ophthalmic,0,,,,
426,'1421','2',CHORIORET LES DIATHERMY,Ophthalmic,0,,,,
427,'1422','2',CHORIORETIN LES CRYOTHER,Ophthalmic,0,,,,
428,'1426','2',CHORIORET LES RADIOTHER,Ophthalmic,0,,,,
429,'1427','2',CHORIORET LES RAD IMPLAN,Ophthalmic,0,,,,
430,'1429','2',CHORIORET LES DESTR NEC,Ophthalmic,0,,,,
431,'1431','2',RETINAL TEAR DIATHERMY,Ophthalmic,0,,,,
432,'1432','2',RETINAL TEAR CRYOTHERAPY,Ophthalmic,0,,,,
433,'1439','2',RETINAL TEAR REPAIR NEC,Ophthalmic,0,,,,
434,'1441','2',SCLERAL BUCKLE W IMPLANT,Ophthalmic,0,,,,
435,'1449','2',SCLERAL BUCKLING NEC,Ophthalmic,0,,,,
436,'1451','2',DETACH RETINADIATHERMY,Ophthalmic,0,,,,
437,'1452','2',DETACH RETINACRYOTHERAP,Ophthalmic,0,,,,
438,'1453','2',DETACH RETINA XENON COAG,Ophthalmic,0,,,,
439,'1454','2',DETACH RETINA LASER COAG,Ophthalmic,0,,,,
440,'1455','2',DETACH RET PHOTOCOAG NOS,Ophthalmic,0,,,,
441,'1459','2',REPAIR RETINA DETACH NEC,Ophthalmic,0,,,,
442,'146 ','2',REMOV PROS MAT POST SEG,Ophthalmic,0,,,,
443,'1471','2',ANTERIOR REMOV VITREOUS,Ophthalmic,0,,,,
444,'1472','2',VITREOUS REMOVAL NEC,Ophthalmic,0,,,,
445,'1473','2',ANTERIOR MECHAN VITRECT,Ophthalmic,0,,,,
446,'1474','2',MECH VITRECTOMY NEC,Ophthalmic,0,,,,
447,'1475','2',VITREOUS SUBSTITUT INJEC,Ophthalmic,0,,,,
448,'1479','2',VITREOUS OPERATION NEC,Ophthalmic,0,,,,
449,'1481','2',IMPLANTATION OF EPIRETINAL VISUAL PROSTHESIS (Begin 2013),Ophthalmic,0,,,,
450,'1482','2',REMOVAL OF EPIRETINAL VISUAL PROSTHESIS (Begin 2013),Ophthalmic,0,,,,
451,'1483','2',REVISION OR REPLACEMENT OF EPIRETINAL VISUAL PROSTHESIS (Begin 2013),Ophthalmic,1,1,,,
452,'149 ','2',OTHER POST SEGMENT OPS,Ophthalmic,0,,,,
453,'1501','1',EXTRAOC MUSCTEND BIOPSY,Ophthalmic,0,,,,
454,'1509','1',EXTRAOC MUSC DX PROC NEC,Ophthalmic,0,,,,
455,'1511','2',ONE EXTRAOC MUS RECESS,Ophthalmic,0,,,,
456,'1512','2',1 EXTRAOC MUSCL ADVANCE,Ophthalmic,0,,,,
457,'1513','2',1 EXTRAOC MUSCL RESECT,Ophthalmic,0,,,,
458,'1519','2',XTRAOC MUS OP/DETACH NEC,Ophthalmic,0,,,,
459,'1521','2',LENGTHEN 1 EXTRAOC MUSC,Ophthalmic,0,,,,
460,'1522','2',SHORTEN 1 EXTRAOC MUSC,Ophthalmic,0,,,,
461,'1529','2',OP ON 1 EXTRAOC MUSC NEC,Ophthalmic,0,,,,
462,'153 ','2',TEMP DETACH >1 XTROC MUS,Ophthalmic,0,,,,
463,'154 ','2',OTH OP ON >L EXTRAOC MUS,Ophthalmic,0,,,,
464,'155 ','2',EXTRAOCUL MUS TRANSPOSIT,Ophthalmic,0,,,,
465,'156 ','2',REVIS EXTRAOC MUSC SURG,Ophthalmic,1,1,,,
466,'157 ','2',EXTRAOC MUSC INJ REPAIR,Ophthalmic,0,,,,
467,'159 ','2',OTH EXTRAOC MUSTEND OP,Ophthalmic,0,,,,
468,'1601','2',ORBITOTOMY W BONE FLAP,Ophthalmic,0,,,,
469,'1602','2',ORBITOTOMY W IMPLANT,Ophthalmic,0,,,,
470,'1609','2',ORBITOTOMY NEC,Ophthalmic,0,,,,
471,'161 ','2',REMOVE PENETRAT FB EYE,Ophthalmic,0,,,,
472,'1622','1',DIAGNOSTIC ASP OF ORBIT,Ophthalmic,0,,,,
473,'1623','1',EYEBALL & ORBIT BIOPSY,Ophthalmic,0,,,,
474,'1629','1',EYEBAL/ORBIT DX PROC NEC,Ophthalmic,0,,,,
475,'1631','2',EYE EVISC W SYNCH IMPLAN,Ophthalmic,0,,,,
476,'1639','2',EYEBALL EVISCERATION NEC,Ophthalmic,0,,,,
477,'1641','2',EYE ENUC/IMPLAN/MUSC ATT,Ophthalmic,0,,,,
478,'1642','2',EYE ENUC W IMPLANT NEC,Ophthalmic,0,,,,
479,'1649','2',EYEBALL ENUCLEATION NEC,Ophthalmic,0,,,,
480,'1651','2',RADICAL ORBITOMAXILLECT,Ophthalmic,0,,,,
481,'1652','2',ORBIT EXENT W BONE REMOV,Ophthalmic,0,,,,
482,'1659','2',ORBITAL EXENTERATION NEC,Ophthalmic,0,,,,
483,'1661','2',2NDRY OCULAR IMP INSERT,Ophthalmic,0,,,,
484,'1662','2',REVIS/REINSERT OCUL IMP,Ophthalmic,1,1,,,
485,'1663','2',REVIS ENUC SOCKET W GRFT,Ophthalmic,1,1,,,
486,'1664','2',ENUC SOCKET REVIS NEC,Ophthalmic,1,1,,,
487,'1665','2',2NDRY EXENT CAVITY GRAFT,Ophthalmic,0,,,,
488,'1666','2',REVIS EXENTER CAVITY NEC,Ophthalmic,1,1,,,
489,'1669','2',2ND OP POST EYE REM NEC,Ophthalmic,0,,,,
490,'1671','2',REMOVE OCULAR IMPLANT,Ophthalmic,0,,,,
491,'1672','2',REMOVE ORBITAL IMPLANT,Ophthalmic,0,,,,
492,'1681','2',REPAIR OF ORBITAL WOUND,Ophthalmic,0,,,,
493,'1682','2',REPAIR EYEBALL RUPTURE,Ophthalmic,0,,,,
494,'1689','2',EYE/ORBIT INJ REPAIR NEC,Ophthalmic,0,,,,
495,'1692','2',EXCISION ORBITAL LESION,Ophthalmic,0,,,,
496,'1693','2',EXCISION EYE LESION NOS,Ophthalmic,0,,,,
497,'1698','2',OPERATION ON ORBIT NEC,Ophthalmic,0,,,,
498,'1699','2',OPERATION ON EYEBALL NEC,Ophthalmic,0,,,,
499,'1711','2',LAP DIR ING HERN-GRAFT (begin 2008),Gastrointestinal,0,,,,
500,'1712','2',LAP INDIR ING HERN-GRAFT (begin 2008),Gastrointestinal,0,,,,
501,'1713','2',LAP ING HERN-GRAFT NOS (begin 2008),Gastrointestinal,0,,,,
502,'1721','2',LAP BIL DIR ING HRN-GRFT (begin 2008),Gastrointestinal,0,,,,
503,'1722','2',LAP BI INDIR ING HRN-GRF (begin 2008),Gastrointestinal,0,,,,
504,'1723','2',LAP BI DR/IND ING HRN-GR (begin 2008),Gastrointestinal,0,,,,
505,'1724','2',LAP BIL ING HERN-GRF NOS (begin 2008),Gastrointestinal,0,,,,
506,'1731','2',LAP MUL SEG RES LG INTES (begin 2008),Gastrointestinal,0,,,,
507,'1732','2',LAPAROSCOPIC CECECTOMY (begin 2008),Gastrointestinal,0,,,,
508,'1733','2',LAP RIGHT HEMICOLECTOMY (begin 2008),Gastrointestinal,0,,,,
509,'1734','2',LAP RES TRANSVERSE COLON (begin 2008),Gastrointestinal,0,,,,
510,'1735','2',LAP LEFT HEMICOLECTOMY (begin 2008),Gastrointestinal,0,,,,
511,'1736','2',LAP SIGMOIDECTOMY (begin 2008),Gastrointestinal,0,,,,
512,'1739','2',LAP PT EX LRG INTEST NEC (begin 2008),Gastrointestinal,0,,,,
513,'1751','2',Implant CCMtotal system (begin 2009),Vascular,0,,,,
514,'1752','2',Implant CCM pulse genrtr (begin 2009),Vascular,0,,,,
515,'1753','2',PERC ATHER EXTRACRAN VSL (Begin 2011),Vascular,0,,,,
516,'1754','2',PERC ATHER INTRACRAN VSL (Begin 2011),Vascular,0,,,,
517,'1755','2',TRANSLUM COR ATHERECTOMY (Begin 2011),Vascular,0,,,,
518,'1756','2',ATHER OTH NON-COR VESSEL (Begin 2011),Vascular,0,,,,
519,'1761','2',LITT lesn brainguidance (begin 2009),CNS,0,,,,
520,'1762','2',LITT les hd/nckguidance (begin 2009),CNS,0,,,,
521,'1763','2',LITT lesn liverguidance (begin 2009),CNS,0,,,,
522,'1769','2',LITT lesn guide oth/NOS (begin 2009),CNS,0,,,,
523,'1802','1',EXT AUDITORY CANAL INCIS,ENT,0,,,,
524,'1809','1',EXTERNAL EAR INCIS NEC,ENT,0,,,,
525,'1821','2',PREAURICULAR SINUS EXCIS,ENT,0,,,,
526,'1829','1',DESTRUCT EXT EAR LES NEC,ENT,0,,,,
527,'1831','2',RAD EXCIS EXT EAR LES,ENT,0,,,,
528,'1839','2',EXCIS EXTERNAL EAR NEC,ENT,0,,,,
529,'185 ','2',CORRECTION PROMINENT EAR,ENT,0,,,,
530,'186 ','2',EXT AUDIT CANAL RECONSTR,ENT,0,,,,
531,'1871','2',CONSTRUCTION EAR AURICLE,ENT,0,,,,
532,'1872','2',REATTACH AMPUTATED EAR,ENT,0,,,,
533,'1879','2',PLASTIC REP EXT EAR NEC,ENT,0,,,,
534,'189 ','2',OTHER EXT EAR OPERATIONS,ENT,0,,,,
535,'190 ','2',STAPES MOBILIZATION,ENT,0,,,,
536,'1911','2',STAPEDECT W REPLAC INCUS,ENT,0,,,,
537,'1919','2',STAPEDECTOMY NEC,ENT,0,,,,
538,'1921','2',REV STAPDEC W INCUS REPL,ENT,1,1,,,
539,'1929','2',STAPEDECTOMY REVIS NEC,ENT,1,1,,,
540,'193 ','2',OSSICULAR CHAIN OP NEC,ENT,0,,,,
541,'194 ','2',MYRINGOPLASTY,ENT,0,,,,
542,'1952','2',TYPE 2 TYMPANOPLASTY,ENT,0,,,,
543,'1953','2',TYPE 3 TYMPANOPLASTY,ENT,0,,,,
544,'1954','2',TYPE 4 TYMPANOPLASTY,ENT,0,,,,
545,'1955','2',TYPE 5 TYMPANOPLASTY,ENT,0,,,,
546,'196 ','2',TYMPANOPLASTY REVISION,ENT,1,1,,,
547,'199 ','2',MIDDLE EAR REPAIR NEC,ENT,0,,,,
548,'2001','2',MYRINGOTOMY W INTUBATION,ENT,0,,,,
549,'2009','1',OTHER MYRINGOTOMY,ENT,0,,,,
550,'2021','2',MASTOID INCISION,ENT,0,,,,
551,'2022','2',PETRUS PYRAM AIR CEL INC,ENT,0,,,,
552,'2023','2',MIDDLE EAR INCISION,ENT,0,,,,
553,'2032','1',MID & INNER EAR BIOPSY,ENT,0,,,,
554,'2039','1',MID/IN EAR DX PROC NEC,ENT,0,,,,
555,'2041','2',SIMPLE MASTOIDECTOMY,ENT,0,,,,
556,'2042','2',RADICAL MASTOIDECTOMY,ENT,0,,,,
557,'2049','2',MASTOIDECTOMY NEC,ENT,0,,,,
558,'2051','2',EXCISE MIDDLE EAR LESION,ENT,0,,,,
559,'2059','2',MIDDLE EAR EXCISION NEC,ENT,0,,,,
560,'2061','2',INNER EAR FENESTRATION,ENT,0,,,,
561,'2062','2',REVIS INNER EAR FENESTRA,ENT,1,1,,,
562,'2071','2',ENDOLYMPHATIC SHUNT,ENT,0,,,,
563,'2072','2',INNER EAR INJECTION,ENT,0,,,,
564,'2079','2',INC/EXC/DESTR IN EAR NEC,ENT,0,,,,
565,'2091','2',TYMPANOSYMPATHECTOMY,ENT,0,,,,
566,'2092','2',MASTOIDECTOMY REVISION,ENT,1,1,,,
567,'2093','2',REPAIR OVAL/ROUND WINDOW,ENT,0,,,,
568,'2095','2',ELECMAG HEAR DEV IMPLANT,ENT,0,,,,
569,'2096','2',IMPLT COCHLEAR PROST NOS (Begin 1986),ENT,0,,,,
570,'2097','2',IMP/REP SCHAN COCH PROS (Begin 1986),ENT,0,,,,
571,'2098','2',IMP/REP MCHAN COCHL PROS (Begin 1986),ENT,0,,,,
572,'2099','2',MIDINNER EAR OPS NEC,ENT,0,,,,
573,'2104','2',ETHMOID ART LIGATEPIST,ENT,0,,,,
574,'2105','2',MAX ART LIG FOR EPISTAX,ENT,0,,,,
575,'2106','2',EXT CAROT ART LIGEPIST,ENT,0,,,,
576,'2107','2',NASAL SEPT GRFTEPISTAX,ENT,0,,,,
577,'2109','2',EPISTAXIS CONTROL NEC,ENT,0,,,,
578,'211 ','1',INCISION OF NOSE,ENT,0,,,,
579,'2130','1',NASAL LESION EXCIS NOS,ENT,0,,,,
580,'2131','1',INTRANAS LES DESTRUCTION,ENT,0,,,,
581,'2132','1',NASAL LES DESTRUCT NEC,ENT,0,,,,
582,'214 ','2',RESECTION OF NOSE,ENT,0,,,,
583,'215 ','2',SUBMUC NASAL SEPT RESECT,ENT,0,,,,
584,'2161','2',DIATHER/CRYO TURBINECTOM,ENT,0,,,,
585,'2162','2',TURBINATE FRACTURE,ENT,0,,,,
586,'2169','2',TURBINECTOMY NEC,ENT,0,,,,
587,'2172','2',OPEN REDUCTION NASAL FX,ENT,0,,,,
588,'2182','2',NASAL FISTULA CLOSURE,ENT,0,,,,
589,'2183','2',TOT NASAL RECONSTRUCTION,ENT,0,,,,
590,'2184','2',REVISION RHINOPLASTY,ENT,1,1,,,
591,'2185','2',AUGMENTATION RHINOPLASTY,ENT,0,,,,
592,'2186','2',LIMITED RHINOPLASTY,ENT,0,,,,
593,'2187','2',RHINOPLASTY NEC,ENT,0,,,,
594,'2188','2',SEPTOPLASTY NEC,ENT,0,,,,
595,'2189','2',NASAL REPAIR NEC,ENT,0,,,,
596,'2191','1',LYSIS OF ADHESIONS OF NOSE,ENT,0,,,,
597,'2199','2',NASAL OPERATION NEC,ENT,0,,,,
598,'2201','1',PUNCTURE OF NASAL SINUS FOR ASPIRATION OR LAVAGE,ENT,0,,,,
599,'2212','1',OPEN BIOPSY NASAL SINUS (Begin 1988),ENT,0,,,,
600,'222 ','1',INTRANASAL ANTROTOMY,ENT,0,,,,
601,'2231','2',RADICAL MAXILLARY ANTROT,ENT,0,,,,
602,'2239','2',EXT MAXILLARY ANTROT NEC,ENT,0,,,,
603,'2241','2',FRONTAL SINUSOTOMY,ENT,0,,,,
604,'2242','2',FRONTAL SINUSECTOMY,ENT,0,,,,
605,'2250','2',SINUSOTOMY NOS,ENT,0,,,,
606,'2251','2',ETHMOIDOTOMY,ENT,0,,,,
607,'2252','2',SPHENOIDOTOMY,ENT,0,,,,
608,'2253','2',MULTIPLE SINUS INCISION,ENT,0,,,,
609,'2260','2',SINUSECTOMY NOS,ENT,0,,,,
610,'2261','2',CLUC EXC MAX SINUS LES,ENT,0,,,,
611,'2262','2',EXC MAX SINUS LESION NEC,ENT,0,,,,
612,'2263','2',ETHMOIDECTOMY,ENT,0,,,,
613,'2264','2',SPHENOIDECTOMY,ENT,0,,,,
614,'2271','2',NASAL SINUS FISTULA CLOS,ENT,0,,,,
615,'2279','2',NASAL SINUS REPAIR NEC,ENT,0,,,,
616,'229 ','2',OTHER NASAL SINUS OPS,ENT,0,,,,
617,'240 ','1',GUM OR ALVEOLAR INCISION,ENT,0,,,,
618,'242 ','2',GINGIVOPLASTY,ENT,0,,,,
619,'2431','1',GUM LESION EXCISION,ENT,0,,,,
620,'244 ','2',EXC OF DENTAL LES OF JAW,ENT,0,,,,
621,'245 ','2',ALVEOLOPLASTY,ENT,0,,,,
622,'246 ','1',EXPOSURE OF TOOTH,ENT,0,,,,
623,'2491','1',EXTEN BUCCOLABIAL/SULCUS,ENT,0,,,,
624,'2502','1',(OPEN)OTH BIOPSY OF TONGUE (Begin 1980),ENT,0,,,,
625,'251 ','2',DESTRUCTION TONGUE LES,ENT,0,,,,
626,'252 ','2',PARTIAL GLOSSECTOMY,ENT,0,,,,
627,'253 ','2',COMPLETE GLOSSECTOMY,ENT,0,,,,
628,'254 ','2',RADICAL GLOSSECTOMY,ENT,0,,,,
629,'2559','2',REPAIR OF TONGUE NEC,ENT,0,,,,
630,'2593','1',LYSIS OF TONGUE ADHESION,ENT,0,,,,
631,'2594','2',OTHER GLOSSOTOMY,ENT,0,,,,
632,'2599','2',TONGUE OPERATION NEC,ENT,0,,,,
633,'260 ','1',INCIS SALIVARY GLND/DUCT,ENT,0,,,,
634,'2612','1',OPEN BX SALIV GLAND/DUCT (Begin 1988),ENT,0,,,,
635,'2621','2',SALIVARY CYST MARSUPIAL,ENT,0,,,,
636,'2629','2',SALIV LESION EXCIS NEC,ENT,0,,,,
637,'2630','2',SIALOADENECTOMY NOS,ENT,0,,,,
638,'2631','2',PARTIAL SIALOADENECTOMY,ENT,0,,,,
639,'2632','2',COMPLETE SIALOADENECTOMY,ENT,0,,,,
640,'2641','2',SUTURE OF SALIV GLND LAC,ENT,0,,,,
641,'2642','2',SALIVARY FISTULA CLOSURE,ENT,0,,,,
642,'2649','2',SALIVARY REPAIR NEC,ENT,0,,,,
643,'2699','2',SALIVARY OPERATION NEC,ENT,0,,,,
644,'270 ','2',DRAIN FACE & MOUTH FLOOR,ENT,0,,,,
645,'271 ','2',INCISION OF PALATE,ENT,0,,,,
646,'2721','1',BONY PALATE BIOPSY,ENT,0,,,,
647,'2722','1',UVULA & SOFT PALATE BX,ENT,0,,,,
648,'2731','2',LOC EXC BONY PALATE LES,ENT,0,,,,
649,'2732','2',WIDE EXC BONY PALATE LES,ENT,0,,,,
650,'2742','2',WIDE EXCISION OF LIP LES,ENT,0,,,,
651,'2743','2',EXCISION OF LIP LES NEC,ENT,0,,,,
652,'2749','2',EXCISION OF MOUTH NEC,ENT,0,,,,
653,'2753','2',CLOSURE OF MOUTH FISTULA,ENT,0,,,,
654,'2754','2',REPAIR OF CLEFT LIP,ENT,0,,,,
655,'2755','2',FULLTHICK GRFT TO MOUTH,ENT,0,,,,
656,'2756','2',SKIN GRAFT TO MOUTH NEC,ENT,0,,,,
657,'2757','2',PEDICLE ATTACH TO MOUTH,ENT,0,,,,
658,'2759','2',MOUTH REPAIR NEC,ENT,0,,,,
659,'2761','2',SUTURE OF PALATE LACERAT,ENT,0,,,,
660,'2762','2',CLEFT PALATE CORRECTION,ENT,0,,,,
661,'2763','2',REVIS CLEFT PALAT REPAIR,ENT,1,1,,,
662,'2769','2',OTH PLASTIC REPAIR PALAT,ENT,0,,,,
663,'2771','2',INCISION OF UVULA,ENT,0,,,,
664,'2772','2',EXCISION OF UVULA,ENT,0,,,,
665,'2773','2',REPAIR OF UVULA,ENT,0,,,,
666,'2779','2',OTHER UVULA OPERATIONS,ENT,0,,,,
667,'2792','2',MOUTH INCISION NOS,ENT,0,,,,
668,'2799','2',ORAL CAVITY OPS NEC,ENT,0,,,,
669,'280 ','2',PERITONSILLAR I & D,ENT,0,,,,
670,'2811','1',TONSIL&ADENOID BIOPSY,ENT,0,,,,
671,'2819','1',TONSIL&ADENOID DX OP NEC,ENT,0,,,,
672,'282 ','2',TONSILLECTOMY,ENT,0,,,,
673,'283 ','2',TONSILLECTOMY/ADENOIDEC,ENT,0,,,,
674,'284 ','2',EXCISION OF TONSIL TAG,ENT,0,,,,
675,'285 ','2',EXCISION LINGUAL TONSIL,ENT,0,,,,
676,'286 ','2',ADENOIDECTOMY,ENT,0,,,,
677,'287 ','2',HEMORR CONTRL POST T & A,ENT,0,,,,
678,'2891','2',INCIS TO REMOV TONSIL FB,ENT,0,,,,
679,'2892','2',EXCIS TONSIL/ADENOID LES,ENT,0,,,,
680,'2899','2',TONSIL/ADENOID OPS NEC,ENT,0,,,,
681,'290 ','2',PHARYNGOTOMY,ENT,0,,,,
682,'292 ','2',EXC BRANCHIAL CLEFT CYST,ENT,0,,,,
683,'2931','2',CRICOPHARYNGEAL MYOTOMY (Begin 1991),ENT,0,,,,
684,'2932','2',PHARYNGEAL DIVERTICULEC (Begin 1991),ENT,0,,,,
685,'2933','2',PHARYNGECTOMY (Begin 1991),ENT,0,,,,
686,'2939','2',EXCIS/DESTR LES PHAR NEC (Begin 1991),ENT,0,,,,
687,'294 ','2',PLASTIC OP ON PHARYNX,ENT,0,,,,
688,'2951','2',SUTURE OF PHARYNGEAL LAC,ENT,0,,,,
689,'2952','2',CLOS BRANCH CLEFT FISTUL,ENT,0,,,,
690,'2953','2',CLOS PHARYNX FISTULA NEC,ENT,0,,,,
691,'2954','2',LYSIS PHARYNGEAL ADHES,ENT,0,,,,
692,'2959','2',PHARYNGEAL REPAIR NEC,ENT,0,,,,
693,'2991','1',PHARYNGEAL DILATION,ENT,0,,,,
694,'2992','2',DIVIS GLOSSOPHARYNG NERV,ENT,0,,,,
695,'2999','2',PHARYNGEAL OPERATION NEC,ENT,0,,,,
696,'3001','2',LARYNX CYST MARSUPIALIZ,ENT,0,,,,
697,'3009','2',DESTRUCT LARYNX LES NEC,ENT,0,,,,
698,'301 ','2',HEMILARYNGECTOMY,ENT,0,,,,
699,'3021','2',EPIGLOTTIDECTOMY,ENT,0,,,,
700,'3022','2',VOCAL CORDECTOMY,ENT,0,,,,
701,'3029','2',OTHER PART LARYNGECTOMY,ENT,0,,,,
702,'303 ','2',COMPLETE LARYNGECTOMY,ENT,0,,,,
703,'304 ','2',RADICAL LARYNGECTOMY,ENT,0,,,,
704,'311 ','2',TEMPORARY TRACHEOSTOMY,ENT,0,,,,
705,'3121','2',MEDIASTINAL TRACHEOSTOMY,ENT,0,,,,
706,'3129','2',OTHER PERM TRACHEOSTOMY,ENT,0,,,,
707,'313 ','2',INCIS LARYNX TRACHEA NEC,ENT,0,,,,
708,'3145','1',OPN BX LARYNX OR TRACHEA (Begin 1988),ENT,0,,,,
709,'315 ','2',LOCAL DESTRUC TRACH LES,ENT,0,,,,
710,'3161','2',SUTURE OF LARYNGEAL LAC,ENT,0,,,,
711,'3162','2',LARYNGEAL FISTULA CLOS,ENT,0,,,,
712,'3163','2',LARYNGOSTOMY REVISION,ENT,1,1,,,
713,'3164','2',LARYNGEAL FX REPAIR,ENT,0,,,,
714,'3169','2',OTHER LARYNGEAL REPAIR,ENT,0,,,,
715,'3171','2',SUTURE OF TRACHEAL LACER,ENT,0,,,,
716,'3172','2',CLOSURE OF TRACHEOSTOMY,ENT,0,,,,
717,'3173','2',TRACHEA FISTULA CLOS NEC,ENT,0,,,,
718,'3174','2',REVISION OF TRACHEOSTOMY,ENT,1,1,,,
719,'3175','2',TRACHEAL RECONSTRUCTION,ENT,0,,,,
720,'3179','2',OTHER TRACHEAL REPAIR,ENT,0,,,,
721,'3191','2',LARYNGEAL NERV DIVISION,ENT,0,,,,
722,'3192','2',LYSIS TRACH/LARYNX ADHES,ENT,0,,,,
723,'3195','2',TRACHEOESOPH FISTULIZAT (Begin 1989),ENT,0,,,,
724,'3198','2',OTH LARYNGEAL OPERATION,Pulmonary,0,,,,
725,'3199','2',OTHER TRACHEAL OPERATION,Pulmonary,0,,,,
726,'3201','1',ENDOSC DESTRUC BRONC LES (Begin 1989),Pulmonary,0,,,,
